Company,reviews,location,StarRating,Title,Date,UUID,Summary,Sentiment,Sentiment_Score
Three,2,GB,1,Do Not take a 3 contact out you won’t…,23-Apr-24,eb6053d6-fad6-44d2-ab7e-01ecdc4ffd43,Do Not take a 3 contact out you won’t be able to cancel it been trying to cancel mine out of date contact for weeks every time there come out with some excuse DO NOT USE THREE # Do Not take a 3 contact out you won’t…,Positive,0.225
Three,29,GB,1,Very Bad,22-Apr-24,2865cca6-68c8-47a0-98d3-c5d2baa37ab9,Hell don't trust Three because they don't care about customers when keep put price up when my bill will was £33 and know ìt's £58. When I get really bad signal in my bedroom. When you want talk someone they keep putting bot on to talk to you not real person. I think that big boss wants put the customers bills up because they want money for themselves and don't care about their staff or customers. # Very Bad,Negative,-0.302
Three,1,GB,1,Aweful service,21-Apr-24,1e4cb7cf-ccc2-461c-8812-d4ddebf2e5f7,"Aweful service. We made the mistake of using Three for broadband and our phone contracts. They upgraded the network and now we have no connectivity from any of our devices (3 days now). When we phone support we’re constantly cut off (with no call-back), so you have to endure the queue/security again only to start troubleshooting over as they have no record of the previous call. Then we’re asked to reboot the router, even though we’ve explained 15 times before that it’s affecting 3 separate devices. You may as well be asking for support from a potato. In fact you might as well trade in your iPhone for a potato… at least you can eat a potato. # Aweful service",Negative,-0.116666667
Three,3,IN,1,"Hello Guys,",22-Apr-24,116e611a-49b7-4c52-943e-507170824a5c,"Hello Guys,I have a experience of 3 network last one year and 4 months but I don’t like 3 network services also when i going help centre to cancel my contract they said you can’t cancel contract if you want cancel the contract you have to paid £180.So please don’t use to 3 network.Really really bad service and no network in the main area and very slow network and expensive contract .Thank you # Hello Guys,",Negative,-0.284666667
Three,2,GB,5,Lovely customer service,22-Apr-24,f94387a7-fa9e-4f40-9509-82698fe84163,"I spoke with a lovely chap on Three this morning, he helped with closing down the mobile phone account of my mum's after her passing away.  The chap was so kind and understanding, best customer service support I've received in a long time.Excellent and would highly recommend. # Lovely customer service",Positive,0.364920635
Three,2,GB,1,Waste of ten pounds,15-Apr-24,0d39ee36-2418-423a-9a31-5b1d282e1a59,"Went to my local Three store to buy a sim for a three week trip to USA. Assistant assured me most insistently that this particular £10 sim would work in USA. It didn't. Data worked fine, what he didn't make clear was that ""works in USA"" means ""works calling & texting UK"". Pretty useless for calling a USA number. Returned to the shop, complained, fobbed off with excuses. Phoned Three complaints, ditto response. Can a huge international company like Three not afford to reimburse me a tenner, for an obviously mis-sold product? Apparently not. # Waste of ten pounds",Positive,0.087179487
Three,7,GB,1,Ref:9674377737,21-Apr-24,6ca6a38a-790c-41f7-87a8-2a47cb07f777,Ref:9674377737This is the reference I got from lowell debt collectors who got in contact with me regarding a account I had with Three for 8 years . I was told by lowell that I owed Three £46 because I didn't give them any notice when I regarding cancelling my 8 year phone contract with this disgusting company. I explained to Lowell that I was with them for 8 years and decided to leave and did give them 30 days notice so why they were harassing with debt collectors I don't know. I just want to thank Three for rewarding  me for being a loyal customer for  8 years by harassing me with debt collectors for money I don't owe because their stupid call centre staff messed up in India # Ref:9674377737,Negative,-0.241666667
Three,17,GB,1,I'm done paying for my WiFi Internet,21-Apr-24,2930d01e-a44f-45dc-8abe-7a7808d46564,I'm done paying for my WiFi Internet. Work great the first week. Ever since its wither less than 1 Mb or it need resetting or unplugged every 5 minutes. I have enough. I'm canceling the direct debit & come you can come collect you useless equipment # I'm done paying for my WiFi Internet,Positive,0.080555556
Three,4,GB,1,Set up £10 auto renew for 12gb/month…,14-Apr-24,e80cc323-7693-4e5f-83c0-b50126b933db,Set up £10 auto renew for 12gb/month but their system did not converted the equivalent money to data hence my £10 gone within 3 days. # Set up £10 auto renew for 12gb/month…,Neutral,0
Three,2,GB,1,Absolutely disgusting company!!,23-Apr-24,caeaad64-3cd2-4f1c-bbba-aa9d740c3056,Absolutely disgusting company!!! Haven’t had any internet the whole time I’ve been with them!!! Have taken double the money from my account… not in the contract. Won’t give me my money back.. they are scamming people and it’s disgusting!!! Avoid at all costs!!! # Absolutely disgusting company!!,Negative,-0.466666667
Three,9,GB,2,I've been a very loyal customer for…,20-Apr-24,96da2e61-ee64-4702-aa74-cda4eb94f855,"I've been a very loyal customer for some 16 years but have now chosen to leave.  Prices are becoming ridiculously high and other competitors (who piggy back on their network!) are able to offer cheaper prices, which Three just won't match. # I've been a very loyal customer for…",Positive,0.26452381
Three,18,GB,5,Excellent service for mobile BB,08-Apr-24,54d65183-3caa-4f1c-b4d6-3147b53f84f7,"I live far from telephone lines and fibre BB so a 4G LTE internet solution is the best option for me.Best price I could find a couple of years ago was Three.  It worked flawlessly for years then the signal degraded from the usual 55 - 70 Mbs to 10Mbs then no signal at all.  No network problems reported on their site so went to on line chat for help.  Very helpful person went through a few steps and said I'll put a new SIM in the post.   SIM arrived pre-activated, popped it in the router, 55Mbs again, fast excellent internet.Thanks Three for an easy fix :-) # Excellent service for mobile BB",Positive,0.327389277
Three,5,GB,1,Immaculate credit score ruined by Three's mistake!,25-Feb-24,8c166063-6240-477f-8712-b0978f122691,"Extremely, extremely disappointed. Although being repeatedly assured that my credit score would not be affected for a returned home broadband, I have now had my credit score destroyed. Each time I speak to Three, they say that the bill should be ignored because I returned the broadband within the return period and that the contract was cancelled, and that I just need to wait for the 'final bill' to be calculated. Instead my credit score has just been updated with a missed payment, for which I was told not to pay!?! # Immaculate credit score ruined by Three's mistake!",Negative,-0.375
Three,1,GB,1,Absolutely abhorrent since network 'upgrade',18-Apr-24,57ec704b-5107-4579-8873-a7f68837a23f,"Disconnected from an important call. Turned out despite paying for a mobile package, they were running down my prior pay as you go balance. Now can't get back on the call. Have been on with 'support' for more than an hour and they barely understand.Have had multiple incidents since network upgrade where they have double charged or services paid for just don't work.I'll be looking to change my cell provider this weekend. # Absolutely abhorrent since network 'upgrade'",Positive,0.010493827
Three,10,GB,1,My sim card was disconnected and i just…,24-Apr-24,05739d20-ff2e-4446-a2bc-28c8f321cd0c,"My sim card was disconnected and i just get lied to when trying to resolve it.I purchased a payg sim from a local shop, went home and put £35 credit on it via the three website. All good and sim worked for a few days. It then went off. I contacted customer service and after an hour on the chat i was told my account was suspended as i needed to update my details ? But they will sort it and it will work in 24 hrs - Well after 36 hrs, its not working. Customer service now say i have to go to store with id to register it!!  I explained i wasn't prepared to drive a 20 mile round trip to do this, and why is this an issue since it never asked for Id when i went on their site to put £35 credit on it.   They now telling me they can sort out my account and it will work in 24hrs, so it will be 4 days with out service that i have already paid for.  The sim is going in the bin and i'll find a different provider. # My sim card was disconnected and i just…",Negative,-0.033333333
Three,2,GB,1,"breach ofcomm regs - Missselling, terrible service, terrible customer service, cant contact anyone easily",22-Apr-24,b73b6314-3b36-4e79-8e6f-16c3008e5cc2,"In the short 2 weeks I was with Three I had every problem possible. I couldn't get hold of anyone, when I did they were useless. Several breaches of offcomm regulations including selling me a product you know you dont get good coverage here. refusal to send confirmation of cancellation despite it being a requirement legally. Refusing to cancel direct debit. Refusal to give me any sort of assurance Ive cancelled. spent an hour passed to 4 different agents and got nowhere. Just shocking. reporting to offcomm and hope you get a big fine for a lot of breacheswhat's worse is I complained about the service, and despite having no signal which I advised of, they sent a text telling me they tried to contact me when I stipulated email due to signal, and sent me back to their  'contact us' page to start the long convoluted process Id just been through for over an hour speaking to 4 different agents and getting nowhere. disgusting. its deliberately hard to get hold of anyone and this company needs closing down # breach ofcomm regs - Missselling, terrible service, terrible customer service, cant contact anyone easily",Negative,-0.169675926
Three,20,GB,5,Can't fault the customer service!,18-Apr-24,466bffd8-53a6-484d-acf9-7949026bbff7,"After switching from Smarty due to countless short comings, I had a few teething problems with my broadband they sorted the issue super quick and I was quite shocked to get a call the following day to make sure my issues were all sorted. Can't fault their customer service. Megan at the Three store on Commercial Road in Bournemouth set everything up for me after an online order went wrong and she was an absolute diamond! # Can't fault the customer service!",Negative,-0.013194444
Three,27,GB,2,5g hub performance going downhill,18-Apr-24,1195b71f-312b-45e6-b165-a2eaf11b82b5,"We've had a 5g hub for a year. It has performed pretty well overall, but these past few weeks performance has deteriorated quite markedly, with our initial delight turning to frustration and disappointment. Dropouts/slow speeds have become irritatingly frequent, so much so that we have to switch to our mobile phone internet (which is Asda 4g+ and super reliable). In addition, the speed can vary wildly from one minute to the next. I've just tested the speed- 10.3 down, 0.73 up, so very average.We're moving soon and won't be taking the hub with us.Bottom line: I can't recommend the 5g hub from 3. # 5g hub performance going downhill",Positive,0.005555556
Three,2,GB,1,Actual thieves lol,22-Apr-24,63fbe60f-fc3a-417f-b8d7-cd325fdbe633,"Actual thieves lol. I TURNED OFF roaming when I landed and yet got charged. I also changed my spend cap to 0. Yet they managed to charge me £17 for it. When you get in touch to understand what happened, they say they can’t see any information as the bill hasn’t been created yet. A joke. Same yourself time and money and DO NOT get this horrible SIM card. It literally almost never works in central London and when you travel abroad, they charge you for no reason. Would give 0 stars if possible. Cant wait to switch network providers. # Actual thieves lol",Positive,0.075
Three,4,GB,1,Very poor service and missold headphones,18-Apr-24,e8c99f57-4af8-4fa5-8715-1d0aab4e624a,"I renewed my contract and was offered a price I later realised was higher than for new customers. Later in the call I was offered ""airpods"" at what they said was a great price (22 pounds) they were delivered and are actually wired headphones which cost 19 pounds on the applestore, which don't even fit in my phone. They are now refusing to allow me to return them and said I need to take my complaint to the ombudsman. All I wanted to do was return some headphones which are essentially useless to me. The whole thing has left a very bad taste in my mouth and I am considering cancelling my contract. # Very poor service and missold headphones",Negative,-0.034125874
Three,4,GB,1,the worst service you will ever…,23-Apr-24,7680e128-8e55-47d5-a67f-b6a038e38786,"the worst service you will ever experience, exploit your customers and charge them for usage they have not used! Pay more and go with a better company! # the worst service you will ever…",Negative,-0.25
Three,1,GB,1,I am having the worst experience of my…,19-Apr-24,4bd76e67-dd36-4b79-8c25-1765cde5637c,"I am having the worst experience of my life by switching to this network. I have called and informed the customer care so many times; however, I am still having signals issues in every area. I am using iPhone 14 Pro Max; however, signals are so bad that I can hardly call anyone while I am in my office or even in Central. No one listens to me whenever I call the customer care. I should have never switched to this network and will soon get rid of it. # I am having the worst experience of my…",Negative,-0.415277778
Three,42,GB,1,Three's 5G broadband down 2 days now...,21-Apr-24,6202b76a-6dfa-4050-a5f8-9f1e7a20bd60,"I fixed the problem myself. Three went down and came backup the later that night for most people. Three changed the settings of the modem which worked for standalone users - but stopped working for those who had used modem passthrough mode (using their own router). Switching off IP6 in the APN settings made it work again in modem pass-through mode. Took a lot of testing to make it work. Lucky I'm in IT.Original post: Three's 5G broadband has been down since 7am Sun 21 April. No messages at all - let alone with updates. Call centre kept me on hold to eventually find that there was an issue but it would be fixed quickly the same day. It wasn't. I've little hope it will be done this week. (I just persuaded my neighbour Three was a good deal - feel terrible.)In general, UK has shockingly bad Broadband infrastructure compared to EU. And Three is a big part of the ugliness. # Three's 5G broadband down 2 days now...",Positive,0.0625
Three,2,GB,1,AVOID AVOID AVOID IF YOU DON'T WANT TO…,22-Apr-24,95694e0d-7c8e-4b14-a523-d82add250fa6,"AVOID AVOID AVOID IF YOU DON'T WANT TO BE RIPPED OFF!!!Honestly - everything went wrong. I have been with Three since my friend got me a good friends&family deal about 5 years ago - they were starting to increase by bills gradually so I decided to switch to a new plan recently. Then the nightmares began - daily roaming charges in spite of me keeping international roaming OFF the whole time, being charged extra for no reason, getting texts about extra charges for things. And not being able to contact customer support except via chat (or phone, but who sits there waiting for someone to pick up in 30 mins?)?? These guys are TERRIBLE at customer service, used to be very good and responsive, now you can't even find an email address to send your complaints to. And the customer agents say ""don't worry, it's fine"" and then charge you ridiculous amounts in your next bill for no good reason, labeled ""third party charges"". Seriously, there must be a law saying all companies must have a customer support email address. Sitting there chatting with someone for hours to solve a very minor issue makes a joke out of customer service!There isn't even a good way to LEAVE! It's haunting. I tried to end my contract and run away, and they kept charging me with fees and third party charges that I did not know what for. Please AVOID for your own sanity. # AVOID AVOID AVOID IF YOU DON'T WANT TO…",Positive,0.068754941
Three,2,GB,1,I sign contract with this company 20…,19-Apr-24,6ceeecc4-dfcf-421b-8484-a286f2b529f3,"I sign contract with this company 20 months ago. Since then my roaming doesn’t work. I ask for help 3 days ago, been told issue was fixed and I need to pay for each day £5 to get unlimited data. Result is, it may worked for few minutes, but when I need it, it’s failing. Everyone around me with different providers have no issues. The customer service is equally bad, live chat means you can chat with automated answer software which is giving you same useless options. Can’t wait for end of my contract. # I sign contract with this company 20…",Negative,-0.166233766
Three,2,GB,1,Been with 3 for over 10 years,17-Apr-24,bb761d58-8c91-4983-9af0-aa788fc5090f,"Been with 3 for over 10 years, the last 6mth the service has gona downhill. Broadband particularly very bad can’t watch anything on tv constantly buffering. Was sent a new hub and told it would drastically improve but if anything has gone worse. Absolutely no chance of connecting 2x devices to the wifi. Customer service said a local mast was the problem and would soon be fixed, roll on 3 weeks later no change. Going to try and cancel my broadband now # Been with 3 for over 10 years",Negative,-0.13040404
Three,1,CH,1,Horrific,23-Apr-24,eeb1f870-86cb-4ee1-814f-1578a60c15f2,A few years ago I couldn't have recommended this network more. Now it's my most despised contract - Finally moving over to Lebara. # Horrific,Negative,-0.04
Three,5,GB,1,Worst Company ever!!,28-Feb-24,6b6b7b12-4d5f-4463-a467-019a3435eacf,"I took a phone contract with Three with a fixed monthly payment however, they changed the monthly payment without my permission so I was within my cooling off period so I cancelled the contract and send them back the Device. Since then it’s been 4 months that they have not updated their system and I am keep receiving emails and letters that states I am overdue with my balance. I called them more than 100 times and explained to them but still nothing changed. I find this extremely frustrating and I truly believe they are now harassing me. I will take legal action as they have now messed up my credit history too. I did not expected such low level of communication and unprofessionalism from a very well known company such as Three. They are the worst people ever. I truly think there is  a bunch of useless and brainless individuals working with this company. Please I advise everyone to stay away from Three and do not take any contact out from them. There is a lot of well organised companies with great level of service to consider. # Worst Company ever!!",Negative,-0.063333333
Three,4,GB,1,Gave the mandatory 30 days notice to…,16-Apr-24,45113912-0daa-4bae-8b21-a67e4ac8a915,"Gave the mandatory 30 days notice to end contract but no confirmation in writing, only in phone, and no post bag, as promised, to return Hub Router.Being pestered with emails, texts and phone calls as if phone conversation never took place. Hub was buffering last six months and had to be moved from room to room… Finding it time wasting and harassing to extricate myself from this company. Have proof of calls made but with two weeks left on contract it doesn’t feel like they’re going to let up anytime soon! # Gave the mandatory 30 days notice to…",Neutral,0
Three,3,GB,1,Scammers,19-Apr-24,c8615413-469c-491c-b830-18f693b67774,Two years ago I got a home broadband and it came broken and then a replacement arrived I had moved so I’ve never used the device and don’t have it but every month for the last two years I’ve payed the bill. It now keeps giving me missed payments and ruining my score. I’ve no access to the account and even though I chat with support every month no one’s ever helped me. # Scammers,Negative,-0.2
Three,1,GB,1,They rip off the disabled.,23-Apr-24,eaaa35e0-11ec-4069-9638-b21c6302272c,"Do not get a PAYG SIM from these crooks, I had one up until just recently, they've taken more than the £20 pounds monthly from my bank account for who knows how long. They even took £20 from my account yesterday, after I rang them on the 29/3/24 to cancel and demand the £40 pound extra three took from me that month. They said yes it's their mistake and the cash will be refunded in 7 working days, it was only yesterday that I discovered they hadn't. I've now had to get In touch with my bank to stop them taking anymore cash. I also asked for the last 12 months paper statements so I can find out how much more three has taken from me. I had a call back today from three and they say it will take 30 days to stop this account and I will get my £60 back 7 working days after that. I'm disabled and we're in the middle of a cost of living crisis and these clowns think it's acceptable to rob me then pay it back in a month and 9 days time. To say I'm disgusted is an absolute understatement. If I had of known this about them I would never have had anything to do with this vile company. It's quite understandable why they have such a low rating on this web page, and I bet if you could award less than one star their score would plummet even further. I'm so glad I've moved over to a pay monthly plan with another supplier. Best hours work I've done. # They rip off the disabled.",Positive,0.051587302
Three,2,GB,1,Filled 3 complaints,19-Apr-24,017b4670-4257-4564-af82-379f5429bbd1,"Filled 3 complaints, lost multiple hours talking to incredibly incompetent customers service agents.Nothing resolved. 250£ wrongly billed.I AM SHOCKED AT THE LEVEL OF INCOMPETENCE . WOW, JUST WOW! BY FAR THE WORST EXPERIENCE YOU COULD POSSIBLY HAVE WITH CUSTOMER SERVICES # Filled 3 complaints",Negative,-0.131818182
Three,2,GB,1,Refusing me leaving within my right!?,21-Apr-24,61f6366a-438d-4b0f-b44b-a9f98992b703,I ordered a new plan off Three and I was not impressed with it… for multiple reasons coming from O2 they don’t let you change your plan up-and-down based on your needs. They just lock you in a single plan for two years. WHY!? I guess it’s just there money grabbing tactics. I see your here and it’s like a bloodbath awful experiences they couldn’t set up my direct debit probably so I get charged an extra £5 as they’ve got this stupid policy! For their mistake in the begin with and the topper of it ALL they was refusing to give my PAC code on text and in live chat when I’m in my full right to cancel plan with no charge within 14 days!! How is this company not being investigated????? It’s wrong on so many levels stay away from Three I’m going to Tesco they are taking advantage of vulnerable people!! I know my stuff and but many don’t just wrong… # Refusing me leaving within my right!?,Negative,-0.092780749
Three,5,GB,1,took money for 6 months after cancellation,18-Apr-24,bf8c5c2a-651c-4c1e-be83-c130190d923d,"went to three shop to cancel plan as was leaving UK for over 6 months, said I had to phone at end of contract. Phoned from Dubai end of contract which cost me 300AED (£65) get home to UK this week to find they have still been taking the money each month. Phoned customer service (hahahahaha) to be met by a VERY rude and aggressive person who told me he had no record so it was tough luck and then said if I wanted voice transcript of our call as i wanted to complain said it would cost me £72, now going to different helpful non aggressive and rude network. waiting for citizens advice to get back to me about the 6 months money they took from me after cancelling. PLEASE AVOID THIS NETWORK # took money for 6 months after cancellation",Negative,-0.146481481
Three,2,GB,1,Not any customer service when real problem comes.,19-Apr-24,051c1fcd-988d-4596-9dea-fd1827427193,"I needed help with a new contract where my bank account and SIM address would be different. They opened me 2 contracts, one I never received the SIM, but they took my money for both. I tried to get help but all online chat or phone call options were served by unknowledge Indian people who barely speak English, The three offices offered no help with this problem. Even the service is not good, not any roaming, have low signal even in central London, the app is a nightmare to use and you need to authenticate 30 times even with the SIM inside.Already it has been 7 months trying to fix this problem and I haven't found any capable person for that in the whole company. # Not any customer service when real problem comes.",Positive,0.043636364
Three,7,GB,2,From hero to zero,19-Apr-24,d93a4c37-3c0c-4e46-b3d0-dd11333475d9,"I joined three in 2015, because they had the “three at home” package, which meant you did not need to pay for roaming. They had good service and good offers. Fast forward in 2024. Network fails, roaming is back, app crashes, website is abhorrent. I regret extending my contact last year. I’ll pay the price and leave. It hard to create a good reputation and very easy to destroy it. The 1.2 on trustpilot showcases it. # From hero to zero",Positive,0.059358974
Three,14,GB,1,Be aware of hidden fees,15-Apr-24,029c46ce-d155-420a-895e-361cb9ee7695,"The contract was cancelled within the same day, before the SIM was even activated, yet months later, they are still chasing me for some hidden fees. The person I first spoke to via Live Chat, who helped with the Cancellation, told me to ignore any future bills. Yet now, 2 months later, I keep getting texts & messages about an unpaid bill, and when I talk to support, they are telling me I need to pay some sort of final bill - even though I've never used their service. The SIM was never activated. # Be aware of hidden fees",Positive,0.045730028
Three,4,GB,1,Absolutely the worst customer service department I have come across,20-Apr-24,691ad3e6-9982-4e11-9eba-0511923db54a,"This has to be the worst customer service I have ever received. There is not enough space to tell you everything but it has been a saga of misinformation, lies and gross incompetence over 3 separate issues and even one if their own staff in our nearest store said that the customer service team are badly trained and lack knowledge. Now, on top of it all they are trying to get me to pay for an account I didn’t open and have no SIM or even a telephone number for, despite knowing I’ve already cancelled 2 long-standing accounts with them due to their incompetence and desire to sell totally unsuitable contracts.And yes, I have complained to their customer service and cc’d the ombudsman so I now await their response! # Absolutely the worst customer service department I have come across",Negative,-0.152083333
Three,3,GB,1,Worst company ever.Customer service…,07-Apr-24,e6f6e1cb-1210-44d9-b2b4-5b04b0b0a6c2,Worst company ever.Customer service absolutely useless with very poor English.I'll never go back to Three . # Worst company ever.Customer service…,Negative,-0.604
Three,3,GB,1,If you are a delivery driver,17-Apr-24,b4479980-16df-4e23-b43a-f29dc515f17e,"If you are a delivery driver, dont suffer with them. Go EE. I gave them last chance after my contract i am not gonna proceed woth them even if it is 10£, i loose too mich money and gain so mich stress. Complete shutdown of any internet is some areas. It is blatant disrespect and customer’s interest disregard # If you are a delivery driver",Negative,-0.119230769
Three,1,GB,1,Warning check phone usage abroad.,18-Apr-24,284ccf33-5174-4886-8e5c-be7fe9dc252a,"I have worked on cruise ships for 10 years , suddenly whilst out in an extremely dangerous part of Central America , 3 stopped me from using my phone , without informing me they were placing a hold on my account, I had to wait 3 months before returning home for them to inform me of the ‘fair usage policy ‘. This could have left me in an extremely precarious situation without any explanation from 3. You would have thought the safety of their customers would be important, not as important as their terms and conditions I have been reminded of for the last hour whilst trying to get a straight answer off these people. Clearly a company that puts profit above customers welfare. Extremely disappointing. # Warning check phone usage abroad.",Positive,0.036538462
Three,1,CY,1,went abroad and my data was working for…,21-Apr-24,ab3ebc5a-bb66-4d33-8807-79b0e4f44bf7,"went abroad and my data was working for 4 days then stopped, contacted customer service and worker wasn’t helpful at all told me it wasn’t there fault and i had to deal with it and buy more data even tho i had 25G left # went abroad and my data was working for…",Positive,0.25
Three,1,GB,1,Absolutely crap network and all lies…,20-Apr-24,bba792d9-d27d-46c3-8752-4da2b64c2e08,Absolutely crap network and all lies what ever they says first they do fast 5g what that crap Vodafone’s 4g 10 times faster than threes 5g and when you top up of buy add ons that always start usen your credit don’t ever use this network and that’s why I’m going to leave very very soon # Absolutely crap network and all lies…,Negative,-0.17
Three,1,GB,1,Absolutely bull**** of a company,16-Apr-24,be049999-b2f1-4c1b-98d4-346c536ad135,Absolutely bull**** of a company. Been with them for 10 years + can’t get signal anywhere. But they continue to charge extortionate prices. I have 3 contracts amounting to nearly £150 they offered me £16 off the inconvenience ? They’ve been “working on the signal in my area” for nearly 10 years now. The f**cking nerve of them to charge customers full price but not actually fullfill there end of the deal. THEY NEED TO BE SHUT DOWNNN LIKE ASAP. # Absolutely bull**** of a company,Positive,0.158333333
Three,4,GB,1,Had the worst experience with Three…,22-Apr-24,2a59ea2e-1e56-457f-aa15-06fb2c97b05c,"Had the worst experience with Three during my time with them. I have wrote previously about the troubles I have had but it still continues.This time I go to cancel my contract as 2 years is up and I've switched provider. First time I asked them to cancel for me they didn't cancel which left me paying an extra month for their overpriced services. I eventually had to get my own code to switch. So beware, if they say they have cancelled your contract for you, they haven't and will lie to keep you paying!So I wait another month and then pay my last bill. I get a letter through the door saying I owe nothing and 0.00 was due. I then check my credit file to see I have a negative marker from three showing missed payment and account is currently in arrears!!!I literally paid the exact amount and got a letter through the door saying 0.00 was now outstanding! Account showing as closed on the app. I speak to their chat agent who couldn't understand why my file was affected since everything was square and account closed!Absolute shambles from start to finish. Trying to get anything resolved with their offshore team is also a complete nightmare.Not many companies have angered me enough to say I will never use them again, but Three mobile I will never ever ever ever use again, and will discourage anyone I meet from using them! # Had the worst experience with Three…",Negative,-0.068981481
